start_time,end_time,start_time_iso,end_time_iso,project_id,num_model_requests,user_id,api_key_id,model,batch,service_tier,input_tokens,output_tokens,input_cached_tokens,input_uncached_tokens,input_text_tokens,output_text_tokens,input_cached_text_tokens,input_audio_tokens,input_cached_audio_tokens,output_audio_tokens,input_image_tokens,input_cached_image_tokens,output_image_tokens
1779069960,1779070020,2026-05-18T02:06:00+00:00,2026-05-18T02:07:00+00:00,,,,,,,,,,,,,,,,,,,,
1779070020,1779070080,2026-05-18T02:07:00+00:00,2026-05-18T02:08:00+00:00,,,,,,,,,,,,,,,,,,,,
1779070080,1779070140,2026-05-18T02:08:00+00:00,2026-05-18T02:09:00+00:00,,,,,,,,,,,,,,,,,,,,
1779070140,1779070200,2026-05-18T02:09:00+00:00,2026-05-18T02:10:00+00:00,,,,,,,,,,,,,,,,,,,,
1779070200,1779070260,2026-05-18T02:10:00+00:00,2026-05-18T02:11:00+00:00,,,,,,,,,,,,,,,,,,,,
1779070260,1779070320,2026-05-18T02:11:00+00:00,2026-05-18T02:12:00+00:00,,,,,,,,,,,,,,,,,,,,
1779070320,1779070380,2026-05-18T02:12:00+00:00,2026-05-18T02:13:00+00:00,,,,,,,,,,,,,,,,,,,,
1779070380,1779070440,2026-05-18T02:13:00+00:00,2026-05-18T02:14:00+00:00,,,,,,,,,,,,,,,,,,,,
1779070440,1779070500,2026-05-18T02:14:00+00:00,2026-05-18T02:15:00+00:00,,,,,,,,,,,,,,,,,,,,
1779070500,1779070560,2026-05-18T02:15:00+00:00,2026-05-18T02:16:00+00:00,,,,,,,,,,,,,,,,,,,,
1779070560,1779070620,2026-05-18T02:16:00+00:00,2026-05-18T02:17:00+00:00,,,,,,,,,,,,,,,,,,,,
1779070620,1779070680,2026-05-18T02:17:00+00:00,2026-05-18T02:18:00+00:00,,,,,,,,,,,,,,,,,,,,
1779070680,1779070740,2026-05-18T02:18:00+00:00,2026-05-18T02:19:00+00:00,,,,,,,,,,,,,,,,,,,,
1779070740,1779070800,2026-05-18T02:19:00+00:00,2026-05-18T02:20:00+00:00,,,,,,,,,,,,,,,,,,,,
1779070800,1779070860,2026-05-18T02:20:00+00:00,2026-05-18T02:21:00+00:00,,,,,,,,,,,,,,,,,,,,
1779070860,1779070920,2026-05-18T02:21:00+00:00,2026-05-18T02:22:00+00:00,,,,,,,,,,,,,,,,,,,,
1779070920,1779070980,2026-05-18T02:22:00+00:00,2026-05-18T02:23:00+00:00,,,,,,,,,,,,,,,,,,,,
1779070980,1779071040,2026-05-18T02:23:00+00:00,2026-05-18T02:24:00+00:00,,,,,,,,,,,,,,,,,,,,
1779071040,1779071100,2026-05-18T02:24:00+00:00,2026-05-18T02:25:00+00:00,,,,,,,,,,,,,,,,,,,,
1779071100,1779071160,2026-05-18T02:25:00+00:00,2026-05-18T02:26:00+00:00,,,,,,,,,,,,,,,,,,,,
1779071160,1779071220,2026-05-18T02:26:00+00:00,2026-05-18T02:27:00+00:00,,,,,,,,,,,,,,,,,,,,
1779071220,1779071280,2026-05-18T02:27:00+00:00,2026-05-18T02:28:00+00:00,,,,,,,,,,,,,,,,,,,,
1779071280,1779071340,2026-05-18T02:28:00+00:00,2026-05-18T02:29:00+00:00,,,,,,,,,,,,,,,,,,,,
1779071340,1779071400,2026-05-18T02:29:00+00:00,2026-05-18T02:30:00+00:00,,,,,,,,,,,,,,,,,,,,
1779071400,1779071460,2026-05-18T02:30:00+00:00,2026-05-18T02:31:00+00:00,,,,,,,,,,,,,,,,,,,,
1779071460,1779071520,2026-05-18T02:31:00+00:00,2026-05-18T02:32:00+00:00,,,,,,,,,,,,,,,,,,,,
1779071520,1779071580,2026-05-18T02:32:00+00:00,2026-05-18T02:33:00+00:00,,,,,,,,,,,,,,,,,,,,
1779071580,1779071640,2026-05-18T02:33:00+00:00,2026-05-18T02:34:00+00:00,,,,,,,,,,,,,,,,,,,,
1779071640,1779071700,2026-05-18T02:34:00+00:00,2026-05-18T02:35:00+00:00,,,,,,,,,,,,,,,,,,,,
1779071700,1779071760,2026-05-18T02:35:00+00:00,2026-05-18T02:36:00+00:00,,,,,,,,,,,,,,,,,,,,
1779071760,1779071820,2026-05-18T02:36:00+00:00,2026-05-18T02:37:00+00:00,,,,,,,,,,,,,,,,,,,,
1779071820,1779071880,2026-05-18T02:37:00+00:00,2026-05-18T02:38:00+00:00,,,,,,,,,,,,,,,,,,,,
1779071880,1779071940,2026-05-18T02:38:00+00:00,2026-05-18T02:39:00+00:00,,,,,,,,,,,,,,,,,,,,
1779071940,1779072000,2026-05-18T02:39:00+00:00,2026-05-18T02:40:00+00:00,,,,,,,,,,,,,,,,,,,,
1779072000,1779072060,2026-05-18T02:40:00+00:00,2026-05-18T02:41:00+00:00,,,,,,,,,,,,,,,,,,,,
1779072060,1779072120,2026-05-18T02:41:00+00:00,2026-05-18T02:42:00+00:00,,,,,,,,,,,,,,,,,,,,
1779072120,1779072180,2026-05-18T02:42:00+00:00,2026-05-18T02:43:00+00:00,,,,,,,,,,,,,,,,,,,,
1779072180,1779072240,2026-05-18T02:43:00+00:00,2026-05-18T02:44:00+00:00,,,,,,,,,,,,,,,,,,,,
1779072240,1779072300,2026-05-18T02:44:00+00:00,2026-05-18T02:45:00+00:00,,,,,,,,,,,,,,,,,,,,
1779072300,1779072360,2026-05-18T02:45:00+00:00,2026-05-18T02:46:00+00:00,,,,,,,,,,,,,,,,,,,,
1779072360,1779072420,2026-05-18T02:46:00+00:00,2026-05-18T02:47:00+00:00,,,,,,,,,,,,,,,,,,,,
1779072420,1779072480,2026-05-18T02:47:00+00:00,2026-05-18T02:48:00+00:00,,,,,,,,,,,,,,,,,,,,
1779072480,1779072540,2026-05-18T02:48:00+00:00,2026-05-18T02:49:00+00:00,,,,,,,,,,,,,,,,,,,,
1779072540,1779072600,2026-05-18T02:49:00+00:00,2026-05-18T02:50:00+00:00,,,,,,,,,,,,,,,,,,,,
1779072600,1779072660,2026-05-18T02:50:00+00:00,2026-05-18T02:51:00+00:00,,,,,,,,,,,,,,,,,,,,
1779072660,1779072720,2026-05-18T02:51:00+00:00,2026-05-18T02:52:00+00:00,,,,,,,,,,,,,,,,,,,,
1779072720,1779072780,2026-05-18T02:52:00+00:00,2026-05-18T02:53:00+00:00,,,,,,,,,,,,,,,,,,,,
1779072780,1779072840,2026-05-18T02:53:00+00:00,2026-05-18T02:54:00+00:00,,,,,,,,,,,,,,,,,,,,
1779072840,1779072900,2026-05-18T02:54:00+00:00,2026-05-18T02:55:00+00:00,,,,,,,,,,,,,,,,,,,,
1779072900,1779072960,2026-05-18T02:55:00+00:00,2026-05-18T02:56:00+00:00,,,,,,,,,,,,,,,,,,,,
1779072960,1779073020,2026-05-18T02:56:00+00:00,2026-05-18T02:57:00+00:00,,,,,,,,,,,,,,,,,,,,
1779073020,1779073080,2026-05-18T02:57:00+00:00,2026-05-18T02:58:00+00:00,,,,,,,,,,,,,,,,,,,,
1779073080,1779073140,2026-05-18T02:58:00+00:00,2026-05-18T02:59:00+00:00,,,,,,,,,,,,,,,,,,,,
1779073140,1779073200,2026-05-18T02:59:00+00:00,2026-05-18T03:00:00+00:00,,,,,,,,,,,,,,,,,,,,
1779073200,1779073260,2026-05-18T03:00:00+00:00,2026-05-18T03:01:00+00:00,,,,,,,,,,,,,,,,,,,,
1779073260,1779073320,2026-05-18T03:01:00+00:00,2026-05-18T03:02:00+00:00,,,,,,,,,,,,,,,,,,,,
1779073320,1779073380,2026-05-18T03:02:00+00:00,2026-05-18T03:03:00+00:00,,,,,,,,,,,,,,,,,,,,
1779073380,1779073440,2026-05-18T03:03:00+00:00,2026-05-18T03:04:00+00:00,,,,,,,,,,,,,,,,,,,,
1779073440,1779073500,2026-05-18T03:04:00+00:00,2026-05-18T03:05:00+00:00,,,,,,,,,,,,,,,,,,,,
1779073500,1779073560,2026-05-18T03:05:00+00:00,2026-05-18T03:06:00+00:00,,,,,,,,,,,,,,,,,,,,
1779073560,1779073620,2026-05-18T03:06:00+00:00,2026-05-18T03:07:00+00:00,,,,,,,,,,,,,,,,,,,,
1779073620,1779073680,2026-05-18T03:07:00+00:00,2026-05-18T03:08:00+00:00,,,,,,,,,,,,,,,,,,,,
1779073680,1779073740,2026-05-18T03:08:00+00:00,2026-05-18T03:09:00+00:00,,,,,,,,,,,,,,,,,,,,
1779073740,1779073800,2026-05-18T03:09:00+00:00,2026-05-18T03:10:00+00:00,,,,,,,,,,,,,,,,,,,,
1779073800,1779073860,2026-05-18T03:10:00+00:00,2026-05-18T03:11:00+00:00,,,,,,,,,,,,,,,,,,,,
1779073860,1779073920,2026-05-18T03:11:00+00:00,2026-05-18T03:12:00+00:00,,,,,,,,,,,,,,,,,,,,
1779073920,1779073980,2026-05-18T03:12:00+00:00,2026-05-18T03:13:00+00:00,,,,,,,,,,,,,,,,,,,,
1779073980,1779074040,2026-05-18T03:13:00+00:00,2026-05-18T03:14:00+00:00,,,,,,,,,,,,,,,,,,,,
1779074040,1779074100,2026-05-18T03:14:00+00:00,2026-05-18T03:15:00+00:00,,,,,,,,,,,,,,,,,,,,
1779074100,1779074160,2026-05-18T03:15:00+00:00,2026-05-18T03:16:00+00:00,,,,,,,,,,,,,,,,,,,,
1779074160,1779074220,2026-05-18T03:16:00+00:00,2026-05-18T03:17:00+00:00,,,,,,,,,,,,,,,,,,,,
1779074220,1779074280,2026-05-18T03:17:00+00:00,2026-05-18T03:18:00+00:00,,,,,,,,,,,,,,,,,,,,
1779074280,1779074340,2026-05-18T03:18:00+00:00,2026-05-18T03:19:00+00:00,,,,,,,,,,,,,,,,,,,,
